Modul_ID|Modul_Name|Scenario_ID|Tester_POV|Test_Description|Expected_Result|Test_Type
A|Buku Besar - Transaksi Akun/Sub-akun|SYN-A01|Akuntan|Sebagai Akuntan, saya input jurnal multi-baris lalu membuka Buku Besar akun terkait periode 1-22 Juni.|Setiap transaksi tampil dengan tanggal & nominal; total debit/kredit > 0 sesuai jurnal.|Positive
A|Buku Besar - Transaksi Akun/Sub-akun|SYN-A02|Akuntan|Sebagai Akuntan, saya membuka Buku Besar beban konsumsi rapat & tamu periode 2-22 Juni.|Daftar transaksi tampil, total = Rp8.556.900 sesuai manual Excel.|Positive
A|Buku Besar - Transaksi Akun/Sub-akun|SYN-A03|Auditor|Sebagai Auditor, saya klik total satu akun di Buku Besar untuk drill-down.|Tampil kumpulan transaksi jurnal pembentuk total (tanggal + nominal) dan dapat kembali ke jurnal asal.|Positive
A|Buku Besar - Transaksi Akun/Sub-akun|SYN-A04|Akuntan|Sebagai Akuntan, saya bandingkan total Buku Besar tiap akun dengan data lampiran laba rugi (manual).|Angka identik untuk seluruh akun dan sub-akun.|Positive
A|Buku Besar - Transaksi Akun/Sub-akun|SYN-A05|Admin IT|Sebagai Admin IT, saya verifikasi tidak ada baris jurnal (journal_lines) dengan akun_code kosong.|Tidak ada baris dengan akun_code NULL/kosong; semua transaksi dapat diagregasi ke Buku Besar.|Negative
A|Buku Besar - Transaksi Akun/Sub-akun|SYN-A06|Akuntan|Sebagai Akuntan, saya input jurnal pada sub-akun spesifik COA lalu cek Buku Besar.|Transaksi muncul di sub-akun yang benar; tidak ada akun/sub-akun yang hilang.|Negative
A|Buku Besar - Transaksi Akun/Sub-akun|SYN-A07|Admin IT|Sebagai Admin IT, saya verifikasi total jurnal (header) sama dengan total baris jurnalnya.|Jumlah debit/kredit header = jumlah debit/kredit journal_lines untuk tiap jurnal.|Negative
B|LRA - Update Realisasi & Pemetaan|SYN-B01|Akuntan|Sebagai Akuntan, setelah input souvenir/plakat akrilik (Rp7.601.680) saya buka LRA Juni - beban umum lain-lain.|Transaksi muncul dan ter-update di baris LRA yang benar.|Positive
B|LRA - Update Realisasi & Pemetaan|SYN-B02|Akuntan|Sebagai Akuntan, saya cek LRA beban perlengkapan setelah input Rp650.000 + Rp355.800.|Realisasi bulan ini bertambah Rp1.005.800 tanpa selisih vs manual.|Positive
B|LRA - Update Realisasi & Pemetaan|SYN-B03|Auditor|Sebagai Auditor, saya cek LRA makan minum rapat (regression test).|Tetap sinkron = Rp1.362.100.|Positive
B|LRA - Update Realisasi & Pemetaan|SYN-B04|Akuntan|Sebagai Akuntan, saya verifikasi setiap jurnal terhubung ke kode anggaran LRA.|Tidak ada jurnal dengan kode_anggaran kosong; semua transaksi terpetakan ke baris anggaran.|Negative
B|LRA - Update Realisasi & Pemetaan|SYN-B05|Akuntan|Sebagai Akuntan, saya verifikasi tersedia baris anggaran untuk bulan berjalan (Mei & Juni).|Anggaran/LRA memiliki data untuk bulan 5 dan 6.|Negative
B|LRA - Update Realisasi & Pemetaan|SYN-B06|Auditor|Sebagai Auditor, saya verifikasi carryover: kolom sampai bulan lalu Juni = saldo akhir laporan Mei.|Nilai identik; rumus Sampai bulan ini = saldo bulan lalu + realisasi bulan ini.|Positive
B|LRA - Update Realisasi & Pemetaan|SYN-B07|Akuntan|Sebagai Akuntan, saya bandingkan total realisasi LRA per baris vs manual untuk beban umum lain-lain.|Total identik (Rp12.040.680) dan tiap transaksi terpetakan ke baris yang benar.|Positive
C|Upload Template Jurnal & Approve|SYN-C01|Akuntan|Sebagai Akuntan, saya input jurnal satu per satu via menu Buat Jurnal.|Jurnal masuk ke list jurnal (baseline).|Positive
C|Upload Template Jurnal & Approve|SYN-C02|Akuntan|Sebagai Akuntan, saya upload template jurnal (template per 22 juni.xlsx).|File terbaca dan daftar jurnal preview tampil.|Positive
C|Upload Template Jurnal & Approve|SYN-C03|Akuntan|Sebagai Akuntan, setelah upload saya cari tombol/menu Approve.|Menu Approve MUNCUL dan dapat diklik; jurnal ter-approve masuk ke list jurnal.|Positive
C|Upload Template Jurnal & Approve|SYN-C04|Auditor|Sebagai Auditor, saya bandingkan hasil jurnal upload vs input manual.|Hasil identik di Jurnal, Buku Besar, dan LRA.|Positive
