Modul_ID|Modul_Name|Scenario_ID|Tester_POV|Test_Description|Expected_Result|Test_Type
1|Buku Besar - Saldo Awal|SCN-0001|Direktur|Sebagai Direktur, saya ingin mengekspor/mencetak dokumen Januari ke format PDF/CSV.|Sistem mengunduh file Januari yang dapat dibaca jelas tanpa format yang rusak.|Positive
1|Buku Besar - Saldo Awal|SCN-0002|Direktur|Sebagai Direktur, saya memfilter tabel Buku Besar - Saldo Awal menggunakan parameter Saldo Awal.|Sistem hanya menampilkan baris data yang relevan dengan Saldo Awal.|Positive
1|Buku Besar - Saldo Awal|SCN-0003|Auditor|Sebagai Auditor, saya melakukan klik pada Januari untuk melihat detail rinciannya.|Sistem memunculkan informasi rinci mengenai Januari sesuai otorisasi saya.|Positive
1|Buku Besar - Saldo Awal|SCN-0004|Kasir|Sebagai Kasir, saya memperbarui data Budget yang sudah ada di modul Buku Besar - Saldo Awal.|Data berhasil diperbarui dan histori perubahan tercatat di sistem.|Positive
1|Buku Besar - Saldo Awal|SCN-0005|Staff Pembelian|Sebagai Staff Pembelian, saya memfilter Januari untuk memastikan integrasi data berjalan normal.|Sistem berhasil memproses Januari tanpa error dan data tersimpan ke database.|Positive
1|Buku Besar - Saldo Awal|SCN-0006|Staff Pajak|Sebagai Staff Pajak, saya ingin mengekspor/mencetak dokumen Saldo Awal ke format PDF/CSV.|Sistem mengunduh file Saldo Awal yang dapat dibaca jelas tanpa format yang rusak.|Positive
1|Buku Besar - Saldo Awal|SCN-0007|Auditor|Sebagai Auditor, saya memfilter tabel Buku Besar - Saldo Awal menggunakan parameter Desember.|Sistem hanya menampilkan baris data yang relevan dengan Desember.|Positive
1|Buku Besar - Saldo Awal|SCN-0008|Auditor|Sebagai Auditor, saya melakukan klik pada 12 Bulan untuk melihat detail rinciannya.|Sistem memunculkan informasi rinci mengenai 12 Bulan sesuai otorisasi saya.|Positive
1|Buku Besar - Saldo Awal|SCN-0009|Staff Pembelian|Sebagai Staff Pembelian, saya memperbarui data Januari yang sudah ada di modul Buku Besar - Saldo Awal.|Data berhasil diperbarui dan histori perubahan tercatat di sistem.|Positive
1|Buku Besar - Saldo Awal|SCN-0010|Kasir|Sebagai Kasir, saya mengedit Budget untuk memastikan integrasi data berjalan normal.|Sistem berhasil memproses Budget tanpa error dan data tersimpan ke database.|Positive
1|Buku Besar - Saldo Awal|SCN-0011|Staff Gudang|Sebagai Staff Gudang, saya ingin mengekspor/mencetak dokumen Saldo Awal ke format PDF/CSV.|Sistem mengunduh file Saldo Awal yang dapat dibaca jelas tanpa format yang rusak.|Positive
1|Buku Besar - Saldo Awal|SCN-0012|Manajer Keuangan|Sebagai Manajer Keuangan, saya memfilter tabel Buku Besar - Saldo Awal menggunakan parameter Saldo Awal.|Sistem hanya menampilkan baris data yang relevan dengan Saldo Awal.|Positive
1|Buku Besar - Saldo Awal|SCN-0013|Staff Pajak|Sebagai Staff Pajak, saya melakukan klik pada 12 Bulan untuk melihat detail rinciannya.|Sistem memunculkan informasi rinci mengenai 12 Bulan sesuai otorisasi saya.|Positive
1|Buku Besar - Saldo Awal|SCN-0014|Direktur|Sebagai Direktur, saya memperbarui data Desember yang sudah ada di modul Buku Besar - Saldo Awal.|Data berhasil diperbarui dan histori perubahan tercatat di sistem.|Positive
1|Buku Besar - Saldo Awal|SCN-0015|Staff Pajak|Sebagai Staff Pajak, saya mengekspor Saldo Awal untuk memastikan integrasi data berjalan normal.|Sistem berhasil memproses Saldo Awal tanpa error dan data tersimpan ke database.|Positive
1|Buku Besar - Saldo Awal|SCN-0016|Kasir|Sebagai Kasir, saya ingin mengekspor/mencetak dokumen Budget ke format PDF/CSV.|Sistem mengunduh file Budget yang dapat dibaca jelas tanpa format yang rusak.|Positive
1|Buku Besar - Saldo Awal|SCN-0017|Staff Penagihan|Sebagai Staff Penagihan, saya memfilter tabel Buku Besar - Saldo Awal menggunakan parameter Budget.|Sistem hanya menampilkan baris data yang relevan dengan Budget.|Positive
1|Buku Besar - Saldo Awal|SCN-0018|Admin IT|Sebagai Admin IT, saya melakukan klik pada Januari untuk melihat detail rinciannya.|Sistem memunculkan informasi rinci mengenai Januari sesuai otorisasi saya.|Positive
1|Buku Besar - Saldo Awal|SCN-0019|Akuntan|Sebagai Akuntan, saya memperbarui data Saldo Awal yang sudah ada di modul Buku Besar - Saldo Awal.|Data berhasil diperbarui dan histori perubahan tercatat di sistem.|Positive
1|Buku Besar - Saldo Awal|SCN-0020|Admin IT|Sebagai Admin IT, saya mengedit Saldo Awal untuk memastikan integrasi data berjalan normal.|Sistem berhasil memproses Saldo Awal tanpa error dan data tersimpan ke database.|Positive
1|Buku Besar - Saldo Awal|SCN-0021|Kasir|Sebagai Kasir, saya ingin mengekspor/mencetak dokumen Januari ke format PDF/CSV.|Sistem mengunduh file Januari yang dapat dibaca jelas tanpa format yang rusak.|Positive
1|Buku Besar - Saldo Awal|SCN-0022|Admin IT|Sebagai Admin IT, saya memfilter tabel Buku Besar - Saldo Awal menggunakan parameter Januari.|Sistem hanya menampilkan baris data yang relevan dengan Januari.|Positive
1|Buku Besar - Saldo Awal|SCN-0023|Direktur|Sebagai Direktur, saya melakukan klik pada 12 Bulan untuk melihat detail rinciannya.|Sistem memunculkan informasi rinci mengenai 12 Bulan sesuai otorisasi saya.|Positive
1|Buku Besar - Saldo Awal|SCN-0024|Direktur|Sebagai Direktur, saya memperbarui data Budget yang sudah ada di modul Buku Besar - Saldo Awal.|Data berhasil diperbarui dan histori perubahan tercatat di sistem.|Positive
1|Buku Besar - Saldo Awal|SCN-0025|Kasir|Sebagai Kasir, saya menginput Budget untuk memastikan integrasi data berjalan normal.|Sistem berhasil memproses Budget tanpa error dan data tersimpan ke database.|Positive
1|Buku Besar - Saldo Awal|SCN-0026|Kasir|Sebagai Kasir, saya mengosongkan kolom wajib (NULL) pada form Desember.|Sistem MENCEGAH penyimpanan dan menyorot kolom wajib tersebut dengan warna merah.|Negative
1|Buku Besar - Saldo Awal|SCN-0027|Akuntan|Sebagai Akuntan, saya mencoba menghapus 12 Bulan yang sudah memiliki riwayat transaksi/jurnal.|Sistem MENOLAK penghapusan untuk menjaga integritas data relasional.|Negative
1|Buku Besar - Saldo Awal|SCN-0028|Staff Gudang|Sebagai Staff Gudang, saya memasukkan angka ekstrem/negatif pada field nominal di Budget.|Sistem MEMBLOKIR angka tidak masuk akal tersebut dengan validasi batas limit.|Negative
1|Buku Besar - Saldo Awal|SCN-0029|Staff Pembelian|Sebagai Staff Pembelian dengan hak akses terbatas, saya mencoba memaksa masuk ke menu setting Budget.|Sistem me-redirect saya ke halaman peringatan "Access Denied".|Negative
1|Buku Besar - Saldo Awal|SCN-0030|Direktur|Sebagai Direktur, saya mencoba menyisipkan data duplikat untuk Desember yang sudah ada.|Sistem MENOLAK operasi dan memunculkan peringatan "Data Desember Sudah Ada".|Negative
1|Buku Besar - Saldo Awal|SCN-0031|Akuntan|Sebagai Akuntan, saya mengosongkan kolom wajib (NULL) pada form Budget.|Sistem MENCEGAH penyimpanan dan menyorot kolom wajib tersebut dengan warna merah.|Negative
1|Buku Besar - Saldo Awal|SCN-0032|Kasir|Sebagai Kasir, saya mencoba menghapus Saldo Awal yang sudah memiliki riwayat transaksi/jurnal.|Sistem MENOLAK penghapusan untuk menjaga integritas data relasional.|Negative
1|Buku Besar - Saldo Awal|SCN-0033|Admin IT|Sebagai Admin IT, saya memasukkan angka ekstrem/negatif pada field nominal di Januari.|Sistem MEMBLOKIR angka tidak masuk akal tersebut dengan validasi batas limit.|Negative
